name,pop,VC,PC,state
Orlando,286679,8,48.1,FL
Riviera Beach,34991,11.8,38.1,FL
Leesburg,23029,7.6,52.7,FL
Panama City,37318,6.3,57.6,FL
Cocoa,18739,7.5,54.5,FL
Daytona Beach,69030,11.1,48.6,FL
Miami Beach,92928,9.4,74.8,FL
Opa Locka,16663,23.5,52.8,FL
Braselton,11537,0.766667,7.63333,GA
Johns Creek,85446,0.333333,7.03333,GA
Milton,39848,0.266667,7.86667,GA
Senoia,4352,0.233333,9.2,GA
Summerville,4275,0.0666667,10.2,GA
Holly Springs,12369,0.733333,14.0333,GA
Tyrone,7390,0.833333,11.0667,GA
Peachtree City,35374,0.466667,15.1,GA
Chatsworth,4301,1.35,6.1,GA
Grovetown,14543,0.866667,15,GA
Jefferson,11394,1.36667,17.1,GA
Glennville,5083,1.2,22.1667,GA
Alpharetta,67051,0.533333,18.6333,GA
Duluth,29882,2.4,19.4333,GA
Auburn,7706,1.46667,17.8,GA
Kennesaw,34907,1.86667,14.7,GA
Woodstock,32850,1.13333,17.7333,GA
Lyons,4284,3.8,30.7333,GA
Roswell,95677,1.3,16.8,GA
Temple,4462,1.96667,24.9667,GA
Sandy Springs,108654,1.16667,21.9333,GA
Hampton,7841,2.06667,14,GA
Acworth,23028,1.56667,24.2333,GA
Social Circle,4517,2,18.1667,GA
Byron,5258,0.766667,29.6,GA
Canton,28685,2.06667,24,GA
Flowery Branch,7760,1.33333,17.3,GA
Adairsville,4879,1.76667,26.0667,GA
Powder Springs,15214,2.93333,19.7333,GA
Springfield,4192,1.73333,18.7667,GA
Loganville,12308,1.16667,28.2667,GA
Decatur,24491,1.73333,23.2,GA
Suwanee,20227,1.33333,28.5333,GA
Palmetto,4752,3.33333,24.2,GA
McDonough,25151,1.93333,28.6,GA
Fayetteville,18042,1.6,27.6,GA
Pooler,24656,1.4,31.8,GA
Port Wentworth,9105,2.53333,15.4333,GA
Smyrna,57498,2.8,26.4333,GA
Rincon,10039,1.76667,33,GA
Metter,3981,4.1,33.2667,GA
Dallas,13496,1.6,19.4,GA
Folkston,4664,3.03333,19.1333,GA
Cochran,4882,4.26667,40.8333,GA
Dalton,33831,3.06667,30.1333,GA
Commerce,6927,5.33333,23.9,GA
Cairo,9407,2.4,32.7333,GA
Statesboro,31819,3.53333,31.5667,GA
Dunwoody,50095,1.5,41.0667,GA
Brookhaven,54138,3.43333,27.2333,GA
Madison,4098,2.7,32.7,GA
Savannah-Chatham Metropolitan,242265,4.1,24.6,GA
Vienna,3663,4.9,20.2,GA
LaFayette,7210,1.5,45.4,GA
Marietta,61675,3.5,31.6,GA
Lilburn,12847,3.7,31.7,GA
Gainesville,41368,3.8,30.9,GA
Thomasville,18507,1.8,46.5,GA
Jackson,5101,3.5,33.7,GA
Newnan,39830,4.6,26.4,GA
Dawson,4103,4.4,28,GA
Manchester,3966,4.3,31,GA
Snellville,19947,3.2,39.9,GA
Camilla,5016,3.8,35.7,GA
Forsyth,4082,2.7,44.6,GA
Villa Rica,15536,3.7,37.5,GA
Eatonton,6614,5.1,27.2,GA
Stone Mountain,6447,5.1,27.5,GA
Fairburn,15904,3.3,41.5,GA
Oakwood,4179,3.1,43.6,GA
Milledgeville,18620,3.5,41,GA
Sandersville,5527,3.6,40.5,GA
Bremen,6456,1.5,56.1,GA
Clarkston,12957,4.9,32,GA
Norcross,17089,4.7,33.3,GA
Cleveland,3956,2,53.6,GA
Cornelia,4278,4,39.5,GA
Hinesville,33163,4.4,36.2,GA
Ocilla,3653,5.5,29.6,GA
Waynesboro,5462,5.3,32.2,GA
Locust Grove,6852,1.9,59.1,GA
Centerville,7795,4,43.9,GA
Covington,14178,3.6,47,GA
Hazlehurst,4143,4.1,44.2,GA
Austell,7301,7.1,23,GA
LaGrange,30611,4.2,46,GA
Fort Oglethorpe,9912,3.5,54.4,GA
Jasper,3896,2.8,60.6,GA
Jesup,9698,3.7,54,GA
Carrollton,27189,5.9,41.3,GA
Jonesboro,4760,4.6,52.7,GA
Blakely,4603,8.9,21.5,GA
Toccoa,8310,4.3,55.4,GA
Moultrie,14136,5.2,50,GA
Hiram,4046,2.5,70.9,GA
Fitzgerald,8673,5,52.8,GA
Thomaston,8703,5.3,52.6,GA
Cedartown,9959,5.9,48.9,GA
Vidalia,10488,6.2,47,GA
West Point,3766,6.4,46.5,GA
Bainbridge,12033,7.6,37.9,GA
Waycross,13771,5.2,55.9,GA
Monroe,13573,6.6,46.3,GA
Douglasville,34076,5.7,54,GA
Hartwell,4468,6.7,47,GA
Doraville,10625,5,60,GA
Cordele,10669,6,52.6,GA
Forest Park,20024,6.7,48,GA
Warner Robins,75668,5.9,55.5,GA
Swainsboro,7501,7.6,46.3,GA
Atlanta,496106,7.7,46.5,GA
Nashville,4839,8.5,41.1,GA
Dublin,15756,8.1,49.1,GA
Fort Valley,8675,10.7,30.2,GA
Elberton,4300,9.1,50.9,GA
Americus,15184,8.6,60.7,GA
Brunswick,16431,10.7,52.5,GA
Morrow,7632,4.5,99.6,GA
Griffin,22707,11.5,47.6,GA
Albany,72594,11.1,51,GA
Rossville,3967,7.3,81.7,GA
Rockmart,4281,8.9,79.2,GA
College Park,15034,10.4,68.8,GA
Eastman,5038,8.3,86.3,GA
Hapeville,6607,7.4,111.5,GA
Baxley,4718,15.5,82.2,GA
East Point,35486,12.4,120,GA
Rexburg,28765,0.3,5.83333,ID
Hailey,8334,2.03333,4.23333,ID
Middleton,7762,0.575,3.225,ID
Rathdrum,8508,1.2,15.6667,ID
Preston,5411,1.33333,10.8,ID
Moscow,25339,0.833333,19.8,ID
Meridian,103774,1.4,14.2,ID
Emmett,6871,3.13333,12.7333,ID
Payette,7430,2.76667,16.3667,ID
Post Falls,34144,2.1,21.3333,ID
Jerome,11738,2.6,15.2,ID
Rupert,5845,2.6,16.4,ID
Mountain Home,14220,2.7,18.3,ID
Idaho Falls,61643,3.3,15.6,ID
Boise,229265,2.8,20.2,ID
Lewiston,32949,1.5,30.6,ID
Coeur d'Alene,51650,3.6,18.8,ID
Caldwell,55936,3.3,21.5,ID
Nampa,95386,2.8,25.4,ID
Blackfoot,11910,3.4,26.4,ID
Twin Falls,49908,4.5,23.6,ID
Pocatello,55317,3.8,28.3,ID
Chubbuck,14998,3.7,45.2,ID
Garden City,12025,6.8,29.4,ID
Campton Hills,11305,0.166667,2.06667,IL
Gilberts,8254,0.266667,4.2,IL
Manhattan,7879,0.433333,4.06667,IL
Justice,12822,0.166667,0.766667,IL
Sandwich,7382,1.06667,4.23333,IL
Huntley,27637,0.266667,5.96667,IL
Hinsdale,17831,0.233333,7.43333,IL
La Grange Park,13411,0.366667,5.53333,IL
Bartlett,41140,0.6,5.1,IL
Pingree Grove,8867,0.5,4.06667,IL
Palatine,68648,0.5,7.36667,IL
Buffalo Grove,41182,0.233333,5.63333,IL
Channahon,12837,0.5,3.86667,IL
Lakemoor,6046,0.433333,4.7,IL
Lisle,22966,0.466667,6.9,IL
Winfield,9762,0.566667,6.06667,IL
Lindenhurst,14450,0.7,4.46667,IL
Homer Glen,24638,0.266667,5.43333,IL
Lake Villa,8726,1.3,5.73333,IL
Clarendon Hills,8751,0.933333,4.63333,IL
Deerfield,19049,0.266667,6.8,IL
Geneva,22082,0.4,7.93333,IL
Charleston,20878,2.4,4.66667,IL
Lake In the Hills,28924,0.933333,3.7,IL
South Elgin,22627,1.2,8.06667,IL
Chester,8505,1.83333,3.56667,IL
Marengo,7470,0.6,8.76667,IL
Palos Hills,17338,0.833333,5.03333,IL
Shorewood,17482,1.16667,8.1,IL
Stickney,6680,0.733333,9.73333,IL
Mundelein,31436,0.733333,7.56667,IL
Plano,11692,0.366667,8.43333,IL
Edwardsville,25054,0.9,9.86667,IL
Hanover Park,37971,1.06667,6,IL
Lockport,25510,0.633333,7.66667,IL
Round Lake,18454,1,6.26667,IL
Winnetka,12518,0.4,9.03333,IL
Arlington Heights,75688,0.6,8.83333,IL
Highland Park,29764,0.666667,9.03333,IL
Hampshire,6466,1.93333,4.53333,IL
Winthrop Harbor,6727,1,4.56667,IL
Oswego,35478,0.6,9.86667,IL
Harvard,9144,1,9.16667,IL
Cary,17830,1.13333,4.7,IL
Morton,16302,1.13333,8,IL
Roselle,22799,0.6,8.2,IL
Glen Ellyn,28079,0.766667,9.5,IL
Bethalto,9300,0.633333,12.9667,IL
Mahomet,8672,0.7,5.6,IL
Glenwood,8864,1.36667,9.46667,IL
Prospect Heights,16167,1.5,5.1,IL
Maryville,7954,1.1,6.7,IL
Wheeling,38687,0.7,8.3,IL
Park Ridge,37490,0.6,9.1,IL
Wilmette,27467,0.5,9.4,IL
Elmhurst,47025,0.5,9.5,IL
Glenview,48088,0.7,8.8,IL
Highland,9812,0.9,8.1,IL
Frankfort,19184,0.5,9.7,IL
Sycamore,18095,0.6,9.5,IL
Hoffman Estates,51514,0.9,8.1,IL
Waterloo,10408,1.2,7,IL
Chatham,12770,1.4,6.4,IL
Algonquin,31156,0.9,8.5,IL
Palos Heights,12385,0.2,10.9,IL
Warrenville,13280,1,8.1,IL
Western Springs,13554,0.1,11.4,IL
Plainfield,44525,1.2,7.4,IL
St. Charles,32764,1.4,7.1,IL
Barrington,10293,0.1,12,IL
Roscoe,10466,1,8.9,IL
Glen Carbon,12991,0.7,9.9,IL
Mount Prospect,53888,0.6,10.4,IL
Troy,10216,1.3,7.9,IL
Grayslake,20943,1.3,8,IL
Lemont,17224,1.3,8.2,IL
Vernon Hills,26429,0.6,11.2,IL
Carol Stream,40019,0.8,10.3,IL
Bolingbrook,75451,1.5,7.8,IL
La Grange,15583,1,9.8,IL
Yorkville,19751,0.9,10.1,IL
Itasca,9531,0.7,10.8,IL
Glendale Heights,34030,0.5,11.7,IL
West Chicago,27174,1.3,9,IL
Tinley Park,56638,0.4,12.3,IL
Westmont,24766,0.8,10.9,IL
Braidwood,6217,1.8,7.2,IL
Lake Zurich,19930,0.3,13,IL
Morton Grove,23123,0.4,12.3,IL
Mendota,7062,1.4,8.6,IL
Mascoutah,8078,0.9,10.8,IL
Rolling Meadows,23970,0.6,11.8,IL
Wheaton,53418,0.7,11.8,IL
Darien,22054,1.1,10.5,IL
Rock Falls,8844,1.2,10.1,IL
Lyons,10563,1,10.9,IL
Westchester,16423,1.2,10.5,IL
Des Plaines,58155,0.7,12.5,IL
Downers Grove,49626,1,11.3,IL
Bourbonnais,18388,1.8,8.4,IL
Taylorville,10565,0.7,12.7,IL
Woodridge,33681,1,11.6,IL
Villa Park,21806,1.2,10.6,IL
Woodstock,25353,0.9,11.8,IL
Northbrook,33424,0.2,15.3,IL
New Lenox,26905,1.3,11.1,IL
Oak Forest,27644,1.3,11,IL
Riverside,8723,1.5,10.4,IL
Jerseyville,8238,1.2,11.7,IL
Burbank,28771,2.1,8.4,IL
Carpentersville,38220,0.9,13,IL
Romeoville,39625,1.5,10.9,IL
Mokena,20507,0.5,14.4,IL
Wood Dale,13800,0.7,13.8,IL
Antioch,14201,1.4,11.6,IL
Park City,7504,1.5,11.5,IL
Crest Hill,21221,2,9.6,IL
McHenry,26893,1.8,10.7,IL
Elk Grove Village,32723,0.7,14.8,IL
Round Lake Park,7740,3,6.3,IL
Montgomery,19897,0.9,14.4,IL
North Aurora,18470,1.3,13,IL
Hickory Hills,13934,1.1,13.6,IL
Washington,17048,1.8,11.3,IL
Swansea,13506,1,14.2,IL
Shiloh,13167,1.7,12.1,IL
Orland Park,59064,0.3,17.2,IL
Elmwood Park,24486,2.2,10.2,IL
Burr Ridge,10852,0.3,17.5,IL
Batavia,26614,1.3,13.9,IL
Addison,36791,1.7,12.6,IL
Johnsburg,6313,0.3,17.7,IL
Bensenville,18324,1.1,14.8,IL
Oak Lawn,55996,1.4,13.5,IL
Peru,9770,1,15.3,IL
Crystal Lake,40345,0.9,16.1,IL
Belvidere,25121,2.4,10.7,IL
South Beloit,7642,1.7,13.3,IL
Morris,14798,1.1,16.1,IL
Ottawa,18096,0.8,17.1,IL
Worth,10642,2.4,11.6,IL
Manteno,8996,1,17.7,IL
Aurora,201364,2.7,11.4,IL
Dixon,15129,2.1,14.7,IL
Greenville,6723,2.1,14.9,IL
Elgin,113060,2.1,15.2,IL
Round Lake Beach,27534,1.2,18.5,IL
Franklin Park,17968,2.6,13.5,IL
Schaumburg,74169,0.8,20.4,IL
Lombard,43794,1.2,19.5,IL
Crete,8147,2.1,16.2,IL
Macomb,18124,3.1,12.6,IL
Schiller Park,11617,1.5,18.9,IL
Northlake,12369,0.8,21.7,IL
Niles,29433,1.2,20.6,IL
Melrose Park,25164,3.4,12.6,IL
River Forest,11125,1.3,20.9,IL
Normal,54525,2.2,18.1,IL
Bridgeview,16317,1.8,19.6,IL
Park Forest,21636,2.8,15.9,IL
Mount Carmel,6931,2.5,17.7,IL
Alsip,19050,1.3,22.4,IL
Pontiac,11795,3.4,14.6,IL
Blue Island,23310,4,12.4,IL
Bloomingdale,22008,1.5,22.2,IL
Berwyn,55391,3.4,14.8,IL
Machesney Park,22627,2.5,18.4,IL
Joliet,148553,3.3,15.6,IL
Posen,5903,2.4,19.7,IL
O'Fallon,29354,2.8,18.5,IL
Chillicothe,6153,3.4,16.1,IL
Rockton,7443,1.2,24.7,IL
Midlothian,14607,1.8,22.6,IL
Evanston,74780,1.9,22.8,IL
Hillsboro,6016,4.7,12.3,IL
Chicago Ridge,14167,1.3,25.3,IL
Fox Lake,10535,1.6,24.3,IL
Flossmoor,9315,1.2,26.2,IL
West Frankfort,7921,0.3,30.6,IL
Bloomington,78097,4.3,15.3,IL
Freeport,23887,2.1,23.9,IL
Streator,13038,2.4,23.2,IL
Princeton,7538,2.9,21.2,IL
Lincoln,13724,3.8,18.4,IL
Bradley,15271,1.1,28.9,IL
Loves Park,23301,3.7,19.6,IL
Clinton,6927,1.2,29.3,IL
Norridge,14416,1.4,28.6,IL
Summit,11310,3.5,21.3,IL
Litchfield,6747,0.7,32.2,IL
Lincolnwood,12467,1.2,30.5,IL
Skokie,63849,2.7,25.2,IL
Vandalia,7009,3.4,22.7,IL
Rock Island,37985,2.6,26,IL
Cicero,82310,3.8,21.5,IL
Steger,9388,2.7,26.3,IL
Monmouth,9042,3.4,23.4,IL
South Holland,21690,3.1,24.9,IL
Mattoon,17794,5.6,15.8,IL
Rantoul,12741,2.7,27.4,IL
Sterling,14674,2.3,29.7,IL
Silvis,7578,4.2,23,IL
Herrin,12930,2.7,29.1,IL
Effingham,12624,3.4,26.9,IL
Richton Park,13485,4.1,24.5,IL
Gurnee,30698,1.4,35.3,IL
Jacksonville,18320,3.5,28.3,IL
Bartonville,6221,2.6,32.1,IL
Urbana,42029,3.6,29.3,IL
East Peoria,22640,5,25.8,IL
Hazel Crest,13811,3.8,30.7,IL
Moline,42051,5.4,25,IL
DeKalb,43064,5.3,25.7,IL
Carbondale,25816,4.3,29.4,IL
Maywood,23573,5.7,24.2,IL
Calumet City,36560,5.1,26.8,IL
Belleville,41283,4.1,30.5,IL
Decatur,71625,5,28.6,IL
Paris,8253,7.4,19.6,IL
Champaign,88326,6.8,22.6,IL
Kewanee,12413,2.8,39.4,IL
Homewood,19056,2.4,41.2,IL
Country Club Hills,16565,4.3,35.6,IL
Broadview,7761,2.4,42.5,IL
Zion,23885,6.2,30.2,IL
Granite City,28593,7.7,25.5,IL
Quincy,40249,6.3,32,IL
Forest Park,13919,4.7,38.1,IL
East Alton,6073,4.8,38,IL
Riverdale,13322,7.4,28.3,IL
Murphysboro,7511,7.1,30.8,IL
Fairview Heights,16516,4.1,42.1,IL
Salem,7131,2.5,48,IL
Evergreen Park,19497,2.8,47.2,IL
Harrisburg,8697,5.6,37.4,IL
Olney,8919,5,41.6,IL
Alton,26563,6.4,37.4,IL
Cahokia,14004,5.4,43.1,IL
Lansing,27904,3.2,54.7,IL
Kankakee,26032,8.8,33.5,IL
Peoria,112595,7.6,40,IL
Chicago,2719151,10.1,31.8,IL
Oak Brook,8103,1.2,68.1,IL
Wood River,10210,5.8,51.7,IL
Springfield,114623,8.3,47.9,IL
Metropolis,6076,5.4,59.1,IL
North Riverside,6548,3.1,68.4,IL
Centralia,12372,12.7,40.3,IL
Rockford,146198,13.9,36.7,IL
Mount Vernon,14914,15.3,51.8,IL
Danville,31203,17.9,48.3,IL
St. John,17615,0.166667,7.33333,IN
Carmel,94128,0.333333,8,IN
Fishers,94035,0.433333,9.43333,IN
Westfield,41037,0.5,10.1333,IN
Dyer,15880,0.433333,9.26667,IN
West Lafayette,46906,1,9.43333,IN
Chesterton,13561,0.35,4.225,IN
Crown Point,29884,0.266667,11.6333,IN
Noblesville,63315,0.225,5.625,IN
Brownsburg,26525,0.766667,11.6333,IN
Valparaiso,33610,0.625,6.775,IN
Munster,22596,0.766667,19.1333,IN
Griffith,16050,1.13333,23.1333,IN
Portage,36646,0.633333,6.73333,IN
Jeffersonville,47709,1.4,28.3667,IN
Plainfield,33668,2.8,26.5667,IN
Greenwood,58312,3.73333,32.3,IN
Crawfordsville,16207,2.275,11.7,IN
Lawrence,49093,1.43333,7.36667,IN
Goshen,33386,0.725,35.3,IN
Fort Wayne,267634,3.8,26.2,IN
La Porte,21630,5.1,22.9,IN
Columbus,47595,1.6,35.8,IN
Muncie,68406,3.2,33.3,IN
Bloomington,85730,5.4,26.5,IN
Franklin,25288,5.1,28,IN
Kokomo,57804,6.3,24.7,IN
Hobart,28101,2.5,39.6,IN
Hammond,76050,4.8,34.9,IN
Lafayette,72904,4.6,36,IN
Marion,28116,4.6,36.9,IN
Gary,75426,5,36.1,IN
Anderson,54925,4.1,42.6,IN
Seymour,19681,2.1,50.6,IN
Mishawaka,49310,2.3,51.2,IN
Evansville,118765,5.7,44.6,IN
Shelbyville,19075,11.3,29.5,IN
Michigan City,30999,7.4,44.3,IN
Elkhart,52659,11.8,35.5,IN
South Bend,102397,10.4,43,IN
Indianapolis,877584,12.7,41.3,IN
Hugoton,3816,0.9,3.35,KS
Scott City,3854,1.83333,8.1,KS
Valley Center,7370,1.36667,13.1,KS
Tonganoxie,5508,1.73333,13.4,KS
Hesston,3791,0.533333,11.9,KS
Basehor,6239,0.966667,13.1333,KS
Ulysses,5878,1.53333,8,KS
Leawood,35070,0.866667,13.1,KS
Frontenac,3409,1.46667,18.6667,KS
Rose Hill,3986,0.45,6.45,KS
Emporia,24698,1.46667,23.0333,KS
Beloit,3695,1.6,12.8333,KS
Lansing,12043,2.2,11.0333,KS
Marysville,3268,2.6,24.4333,KS
Bel Aire,8092,1.16667,11.3333,KS
Olathe,139154,1.9,14.6667,KS
Osawatomie,4278,2.8,19.4667,KS
Lenexa,54349,1.66667,16.7333,KS
Gardner,21945,1.125,7.05,KS
Abilene,6315,1.5,16.6333,KS
Paola,5574,0.7,24,KS
Shawnee,65983,2.5,16.3,KS
Derby,23842,1.6,21.2,KS
Overland Park,193877,2.3,19.3,KS
Lyons,3540,5.9,3.4,KS
Maize,4735,2.5,19.6,KS
Mulvane,6391,1.4,25.5,KS
Larned,3828,2.4,24,KS
Park City,7785,3.1,20.7,KS
Dodge City,27756,3.2,21.3,KS
Edwardsville,4505,2.9,25.1,KS
Concordia,5059,3.2,24.1,KS
Pratt,6737,4.2,19.6,KS
El Dorado,12960,2.2,29.6,KS
Clay Center,3930,4.8,17.3,KS
Wamego,4748,4,21.7,KS
Baxter Springs,3919,2.3,30.9,KS
Holton,3258,3.7,24.6,KS
Augusta,9387,1.9,34.5,KS
Haysville,11343,4.1,24.9,KS
Garden City,26902,4.6,22.6,KS
Atchison,10589,4.1,25.4,KS
Russell,4454,5.6,18.6,KS
Ottawa,12300,5.1,25.4,KS
Winfield,12072,1.8,43.4,KS
Fort Scott,7779,4.8,33.3,KS
Hutchinson,40573,4.1,40,KS
Newton,18830,7,29.7,KS
Arkansas City,11791,4.2,43.3,KS
Iola,5306,6.2,39.4,KS
Great Bend,15251,7.3,37.8,KS
Leavenworth,36331,9.5,31.1,KS
Coffeyville,9375,6.1,50.3,KS
Parsons,9664,9.4,35.7,KS
Topeka,126399,6.1,51.9,KS
Wichita,391726,11.8,56.2,KS
Harahan,5505,2.06667,0,LA
Tallulah,9424,1.36667,13.3333,LA
Youngsville,6777,1.25,1.525,LA
Mandeville,14370,0.5,6.95,LA
Scott,12371,1.5,19.7,LA
Minden,8810,1.06667,22.1667,LA
Jennings,12215,1.4,19.1333,LA
DeRidder,9949,2.3,29.5333,LA
Westwego,10820,1.5,21.7333,LA
NA,8551,2.83333,22.1333,LA
Covington,10658,2.8,20.9,LA
Rayne,8184,2.6,23.9,LA
Carencro,9174,2.4,28.6,LA
Baker,13487,3.3,24.8,LA
Kenner,67556,2.3,30.2,LA
Slidell,27973,3.1,29.1,LA
Ruston,22274,3.7,28.2,LA
Patterson,5964,4.4,26.3,LA
St. Gabriel,7399,8.8,7.3,LA
Gretna,17965,4.8,30.9,LA
Plaquemine,6660,4.8,31.4,LA
Abbeville,12279,7.2,19.6,LA
Thibodaux,14745,4.6,36.2,LA
Broussard,12672,4.1,39.5,LA
Zachary,17884,6.2,34.9,LA
Sulphur,20250,4.7,43.4,LA
Eunice,10073,4.4,48.3,LA
Houma,33226,4.8,48.9,LA
Lafayette,127592,5.3,46.1,LA
Franklin,6874,7.6,39.7,LA
Bossier City,69551,8.3,43.1,LA
Lake Charles,77852,7.4,48.5,LA
Pineville,14415,6.3,55.2,LA
Ville Platte,7130,1.5,79.4,LA
Breaux Bridge,8349,3.4,71.3,LA
Denham Springs,9761,4.5,68.5,LA
Morgan City,11066,8.7,48.3,LA
Shreveport,190808,8.3,51.8,LA
Baton Rouge,224790,9.2,53.2,LA
Gonzales,10916,5.7,71,LA
Bogalusa,11730,10.6,49.8,LA
New Orleans,396374,11.6,45.6,LA
Natchitoches,17981,8.8,63.5,LA
Ponchatoula,7369,10.3,59,LA
Leesville,5999,10.2,62.5,LA
Walker,6286,9.4,68.7,LA
West Monroe,12594,8.2,80,LA
Monroe,48291,14,67.9,LA
Alexandria,47238,14.5,84.1,LA
Crowley,12779,17.8,71.7,LA
Bastrop,10270,13.4,98,LA
Marksville,5450,19.4,72.5,LA
Hammond,20550,14.5,103.4,LA
Opelousas,16262,21.4,72.6,LA
Greenville,4239,0.466667,5.56667,KY
Columbia,4927,0.6,2.93333,KY
Fort Thomas,16274,0.333333,5.56667,KY
Villa Hills,7455,0.3,4.8,KY
Prospect,4956,0.0666667,9.76667,KY
Highland Heights,7112,0.666667,8.23333,KY
Flatwoods,7136,0.466667,3.46667,KY
Fort Mitchell,8260,0.666667,9.46667,KY
Taylor Mill,6781,0.566667,8,KY
Edgewood,8736,0.266667,8.26667,KY
Independence,28052,0.8,5.53333,KY
Prestonsburg,3404,1.83333,12,KY
Carrollton,3820,0.866667,13.5333,KY
Harrodsburg,8399,1.3,16.6333,KY
Central City,5746,0.3,12.0667,KY
Wilmore,6406,0.433333,15.7667,KY
Alexandria,9583,0.233333,15.7,KY
Stanford,3617,0.633333,9.96667,KY
Lawrenceburg,11378,0.833333,10.7667,KY
Mount Washington,14704,0.733333,10.7667,KY
Vine Grove,6237,0.3,14.9,KY
Erlanger,22993,1,8.1,KY
Hillview,9163,0.9,10.8,KY
Bellevue,5746,0.7,13.9,KY
La Grange,8995,0.6,16.3,KY
Monticello,6101,1,12.1,KY
Cold Spring,6430,0.6,17.4,KY
Lakeside Park,6107,0.2,23.1,KY
Elsmere,8680,1.3,10.6,KY
Versailles,26552,1,14.7,KY
Morehead,7869,0.5,21.5,KY
Fort Wright,5737,1.4,11.5,KY
Beaver Dam,3587,1.7,8.4,KY
Dayton,5464,1.1,17.4,KY
Southgate,3908,1.8,10.2,KY
Shelbyville,16138,1.2,16.9,KY
Williamsburg,5299,2.1,8.5,KY
Hodgenville,3223,1.6,14.6,KY
Paintsville,4061,2.5,6.2,KY
Benton,4495,0.2,31.6,KY
Berea,15893,1.3,20.5,KY
Paris,9809,1.3,21.8,KY
Elizabethtown,30180,2.1,13.3,KY
Cynthiana,6362,1.9,17.1,KY
Lancaster,3866,2.1,15.3,KY
Ludlow,4502,2,16.4,KY
Danville,16801,2,16.8,KY
Grayson,3983,2.8,10.8,KY
Shepherdsville,12391,2.1,20.7,KY
Corbin,7267,2.1,22.6,KY
Nicholasville,30922,1.9,26.6,KY
Georgetown,34351,1.8,28.9,KY
Richmond,35952,1.8,29.7,KY
Leitchfield,6914,2,28.1,KY
Somerset,11453,2.6,21.6,KY
Scottsville,4478,1.3,36.2,KY
Ashland,20525,1.5,37.7,KY
Hazard,5035,2.4,28.6,KY
Maysville,8770,2.2,31.5,KY
Russellville,7088,2.4,30.1,KY
Glasgow,14411,2.3,31.4,KY
Florence,32701,1.8,37.9,KY
Mount Sterling,7253,1.9,37.4,KY
London,8008,2.2,33.8,KY
Lebanon,5668,4.1,15,KY
Middlesboro,9360,1.4,45.3,KY
Hopkinsville,30606,2.8,32.6,KY
Princeton,6075,1.6,46.3,KY
Pikeville,6641,1.8,45.2,KY
Lexington,325579,3,31.7,KY
Frankfort,27664,2.6,38,KY
Newport,14972,3.1,38,KY
Covington,40448,4.1,27.1,KY
Owensboro,59686,2.7,44.2,KY
Shively,15876,3.5,36.4,KY
Campbellsville,11503,2.8,45.4,KY
Bowling Green,68268,3,48.5,KY
Mayfield,9819,3.6,46.2,KY
Oak Grove,7232,4.1,42.9,KY
Hopkinton,18516,0.0666667,2.93333,MA
Franklin,33156,0.166667,2.56667,MA
Shrewsbury,37631,0.1,3.76667,MA
Milton,27642,0.4,6.06667,MA
Norton,19983,0.433333,1.26667,MA
Lexington,34050,0.45,3.6,MA
Westford,24649,0.6,3.13333,MA
Andover,36324,0.933333,6.3,MA
Sharon,18373,0.766667,2.86667,MA
Wellesley,29681,0.4,4.73333,MA
Holliston,14924,0.666667,2.83333,MA
Winchester,23036,0.3,5.83333,MA
Bedford,14319,0.5,3.83333,MA
Reading,26293,0.3,6.1,MA
Scituate,18761,0.266667,1.13333,MA
Needham,31264,0.333333,5.53333,MA
North Reading,15849,1.26667,3.56667,MA
Belmont,26700,0.4,7.03333,MA
Arlington,45876,0.9,5,MA
Billerica,44482,0.9,4.73333,MA
Melrose,28552,0.5,5.1,MA
Concord,19459,0.4,5.7,MA
Northborough,15124,0,7.3,MA
Duxbury,16049,0.4,5.7,MA
Grafton,18900,1.1,3.2,MA
Sudbury,19037,1.1,3.3,MA
Pembroke,18446,0.8,4.7,MA
Marshfield,25922,1.3,3.2,MA
Wilmington,24005,0.8,5.2,MA
Marblehead,20652,1,4.9,MA
Hanover,14521,0.1,8.3,MA
Sandwich,20248,1.1,5,MA
Newton,89505,0.6,7,MA
Beverly,42114,1,5.8,MA
Ashland,17860,1.2,5,MA
North Andover,31394,1.1,5.5,MA
Newburyport,18146,1,6.7,MA
Acton,24038,1.1,6.5,MA
Westwood,16267,0.6,8.4,MA
Watertown,36320,0.8,7.8,MA
Belchertown,15165,1.6,5.1,MA
Winthrop,18783,1.5,6,MA
Bridgewater,27584,2.1,4.2,MA
Wakefield,27447,1.5,6.4,MA
East Bridgewater,14558,1.5,6.5,MA
Westborough,19226,0.9,9.4,MA
Methuen,50676,0.9,9.6,MA
Swampscott,15380,0.6,11.1,MA
Dracut,31917,1.3,8.7,MA
Hingham,23588,1.6,7.6,MA
Hudson,20060,2.4,4.5,MA
Easton,25225,1.8,6.9,MA
Woburn,39895,1.2,9.4,MA
Mansfield,24050,1.4,8.5,MA
Chelmsford,35264,0.9,10.8,MA
Norwood,29267,1.3,9.1,MA
Medford,57997,1.3,9.4,MA
Brookline,59199,0.9,10.7,MA
Dedham,25437,0.3,13.3,MA
Amesbury,17623,1.8,8.1,MA
Longmeadow,15898,0.9,11.5,MA
Westport,15959,2.1,7.2,MA
Easthampton,16050,2.1,7.6,MA
