name,pop,VC,PC,state
Newport,7654,8.8,46.8,AR
Trumann,7071,7.9,51.5,AR
Fordyce,3852,11.9,40,AR
Camden,10880,11.7,44.9,AR
Jacksonville,28530,11.6,46.3,AR
Marianna,3492,8,59.3,AR
Hot Springs,37006,5.2,70,AR
Helena-West Helena,10477,15,45,AR
Blytheville,13843,9.9,60.5,AR
Forrest City,14144,9.3,62.4,AR
Pine Bluff,42195,16.1,54,AR
Little Rock,199288,14.5,65.5,AR
West Memphis,24668,19.7,51.2,AR
Osceola,6819,23.2,46,AR
Florence,25987,0.9,4.86667,AZ
San Luis,33074,0.9,14.4667,AZ
Oro Valley,44844,0.5,14.1667,AZ
Gilbert,247463,0.866667,13.4333,AZ
Sahuarita,29896,1.06667,12.4333,AZ
Maricopa,48660,1.93333,11.9333,AZ
Surprise,136611,1.03333,17.4333,AZ
Lake Havasu City,54678,2.13333,19.8333,AZ
Prescott Valley,45337,1.76667,20.5667,AZ
Marana,46447,0.833333,24.6,AZ
Buckeye,71318,0.933333,17.3333,AZ
Apache Junction,41245,2.26667,22.1,AZ
Scottsdale,254961,1.6,22.5667,AZ
Peoria,170177,2.26667,20.2,AZ
Chandler,255986,2.36667,22.5333,AZ
El Mirage,35733,2.26667,28.3,AZ
Prescott,43172,3.63333,21.2,AZ
Goodyear,82159,2.96667,26.4,AZ
Sierra Vista,42574,2.96667,28.6667,AZ
Mesa,504873,4.03333,21.6667,AZ
Nogales,19973,2.1,30.5,AZ
Eloy,19549,4.1,18,AZ
Avondale,85204,3.4,32.1,AZ
Yuma,96121,5.1,21.2,AZ
Bullhead City,40354,3.7,35.8,AZ
Flagstaff,72852,4.7,33.8,AZ
Kingman,29669,4,38.8,AZ
Casa Grande,56479,6.1,26.2,AZ
Glendale,249799,4.7,40.8,AZ
Tempe,188543,4.8,41.4,AZ
Phoenix,1653080,7.3,34.9,AZ
Tucson,537392,7.4,49.5,AZ
Danville,45202,0.333333,7.7,CA
Rancho Santa Margarita,48918,0.866667,6.2,CA
Moorpark,37121,1.06667,8.03333,CA
Lincoln,48364,0.733333,10.9333,CA
Aliso Viejo,52183,0.733333,8.06667,CA
Rancho Palos Verdes,42464,0.733333,9.8,CA
San Ramon,76569,0.6,11.2667,CA
Mission Viejo,96419,1,9.9,CA
Laguna Niguel,66806,1,9.86667,CA
Yorba Linda,68794,0.633333,10.9333,CA
Foster City,34993,1.03333,10.2667,CA
Irvine,288052,0.6,13.3,CA
Poway,50346,1.23333,10.1667,CA
Thousand Oaks,129319,1.2,12.5,CA
Murrieta,114706,0.633333,13.5667,CA
Oakley,42655,1.23333,11.3333,CA
Lake Forest,85302,1.6,8.93333,CA
Santa Clarita,216589,1.46667,13.0667,CA
Camarillo,68218,1.5,14.9333,CA
Chino Hills,81117,0.833333,14.4,CA
Pacifica,39339,1.86667,12,CA
Rocklin,65969,0.933333,17.2,CA
Simi Valley,127222,1.53333,12.8,CA
San Juan Capistrano,36295,2.3,11.2667,CA
San Marcos,98088,2.06667,11.5,CA
Eastvale,64642,1.03333,19,CA
Cypress,49223,1.3,14.9667,CA
Glendale,204724,1.16667,15.8667,CA
Encinitas,63700,1.73333,14.4333,CA
Temple City,36484,1.53333,14.6333,CA
Folsom,78916,0.966667,16.4667,CA
Novato,56577,1.56667,16.1333,CA
Cupertino,61078,1.23333,16,CA
San Clemente,65509,1.4,12.7333,CA
Morgan Hill,46142,1.53333,15.5,CA
Diamond Bar,56821,1.06667,17.0333,CA
Martinez,38699,1.53333,17.2667,CA
Redwood City,88161,2.1,15.8667,CA
Orange,141108,1.4,18.1,CA
Pleasanton,84992,1.23333,18.8,CA
Santee,58781,2.13333,15.1667,CA
Hollister,38930,3,11.1333,CA
Menlo Park,34694,1.2,18.4,CA
Yucaipa,54001,1.8,18.0333,CA
Elk Grove,174651,2.93333,13.4333,CA
Dana Point,34019,1.93333,15.4,CA
Sunnyvale,155637,1.26667,15.8333,CA
Daly City,107928,2.33333,14.6333,CA
Seaside,34303,3.03333,15.1,CA
La Mirada,49175,1.86667,17.7333,CA
Wildomar,37626,1.3,19.2,CA
Chula Vista,274370,3,13.2,CA
Cathedral City,55056,3.1,13,CA
Bell Gardens,42845,2.7,14.8,CA
Central Marin,35033,1.1,20.6,CA
Corona,170041,1.5,19.2,CA
La Habra,62769,1.8,18.4,CA
Dublin,63463,1.7,18.7,CA
Torrance,146968,1.8,18.4,CA
Carlsbad,116739,2.1,18,CA
Placentia,52324,2.3,17.3,CA
Livermore,91612,2,18.5,CA
Petaluma,61289,3.2,14.5,CA
Vista,102742,3.2,14.6,CA
Palo Alto,67560,1.1,22.4,CA
La Mesa,60442,2.6,17.4,CA
La Puente,40390,4,12.4,CA
Fontana,213964,3.3,15,CA
Menifee,92540,1.7,21,CA
Huntington Beach,203428,2.1,19.6,CA
Fremont,238024,2.1,19.7,CA
Rancho Cucamonga,179114,1.6,21.5,CA
Temecula,116411,1.2,23.3,CA
Napa,80145,3.4,15.5,CA
Milpitas,79895,1.1,24.2,CA
Tustin,81243,1.5,23.1,CA
Arcadia,59151,1.3,24,CA
Stanton,38618,3.5,16,CA
Clovis,111759,2,21.8,CA
Palmdale,158177,3.7,15.4,CA
Brentwood,64118,2.4,20.5,CA
San Gabriel,40637,3.3,17,CA
Manhattan Beach,36038,1.6,23.4,CA
Newport Beach,86276,1.4,24,CA
Vacaville,101146,2.3,21.3,CA
Fountain Valley,56433,0.9,26.5,CA
San Mateo,105839,2.7,20.4,CA
San Dimas,34463,2.3,21.8,CA
Davis,69486,1.7,24.3,CA
Redondo Beach,68048,2.5,21.3,CA
El Monte,116464,3.1,19.3,CA
Escondido,153073,3.5,17.9,CA
Alhambra,85718,2.3,22.5,CA
South San Francisco,67973,2.7,21.2,CA
Apple Valley,73631,3.1,19.8,CA
La Quinta,41849,1,27.6,CA
Pico Rivera,63602,3.6,18.2,CA
Monrovia,37128,1.9,24.6,CA
Roseville,137706,2.2,23.6,CA
Baldwin Park,76541,3.7,18.1,CA
Rancho Cordova,74863,3.6,18.5,CA
Claremont,36178,1.8,25.7,CA
Mountain View,82518,1.9,25.5,CA
Bell,35857,5.1,13.8,CA
San Diego,1436495,3.7,19.1,CA
San Bruno,43621,2.8,22.6,CA
Burbank,105041,2.2,25,CA
Coachella,46115,2.3,24.8,CA
West Covina,107806,2.7,23.3,CA
Tracy,91988,2.2,25.3,CA
Monterey Park,61160,2,26,CA
Beaumont,48559,4.3,17.9,CA
Garden Grove,174661,2.9,23.1,CA
Norwalk,106158,4.2,18.4,CA
Calexico,40596,2.1,26.2,CA
Highland,55651,3.7,20.5,CA
Union City,76198,3.4,21.7,CA
Pasadena,143448,3.8,20.4,CA
Fullerton,141132,2.4,25.9,CA
Chino,91535,2.8,24.2,CA
Santa Maria,108100,4.6,17.9,CA
Newark,48276,2,27.3,CA
Santa Rosa,176325,4.7,17.7,CA
Downey,113277,3.2,23.1,CA
Lakewood,81097,3.3,22.8,CA
Alameda,79951,2.3,26.6,CA
Santa Clara,128682,1.6,29.1,CA
Perris,79238,2.7,25.2,CA
Whittier,87055,2.7,25.6,CA
Oceanside,177464,3.8,21.6,CA
Rohnert Park,43129,5.1,17.3,CA
Santa Ana,335403,4.7,19.1,CA
Azusa,50393,3.8,22.3,CA
Rosemead,54661,3.5,23.3,CA
Lake Elsinore,68451,2.4,28,CA
Anaheim,354743,3.4,24.5,CA
Hesperia,95519,4.3,21.3,CA
Brea,43279,1.9,29.9,CA
National City,61763,5,18.9,CA
Covina,48557,3.9,23,CA
Bellflower,77937,4.3,21.7,CA
Glendora,52727,2.3,28.9,CA
Walnut Creek,70587,1.5,31.9,CA
Jurupa Valley,107605,3.1,26.4,CA
Oxnard,211737,3.8,23.9,CA
Westminster,91821,3.1,26.5,CA
Carson,92895,4.7,21.2,CA
Montebello,63291,3.4,26,CA
Porterville,59394,3.5,26.3,CA
Ontario,177542,3.8,25.8,CA
Woodland,60679,3.6,26.4,CA
El Cajon,104497,4.9,21.7,CA
Manteca,81080,3.2,28.2,CA
San Jacinto,48830,2.7,29.9,CA
Hanford,56805,4.8,22.3,CA
Lompoc,43719,5,21.8,CA
San Jose,1047305,4.2,24.6,CA
Gilroy,59033,3.5,27.3,CA
Los Banos,39651,3.6,27,CA
Upland,77453,3.7,26.8,CA
Watsonville,54513,4.5,24.4,CA
Lodi,66416,4.2,25.6,CA
Colton,55203,3.3,29,CA
West Sacramento,54215,4.2,26,CA
Gardena,60423,5.4,21.6,CA
Citrus Heights,88603,3.7,28,CA
Santa Barbara,92630,4.5,25.2,CA
Visalia,134224,3.4,29.6,CA
Yuba City,67035,3.9,27.5,CA
Lynwood,71315,6,20.2,CA
Buena Park,83336,3.1,31,CA
Madera,66098,6,20.4,CA
Tulare,64509,3.9,28.2,CA
Moreno Valley,209145,3.7,29.5,CA
Adelanto,34429,6.9,17.7,CA
Campbell,41853,2.8,32.9,CA
Palm Desert,53567,1.7,37.1,CA
Delano,53141,4.5,27,CA
Pittsburg,73462,5.7,22.9,CA
Costa Mesa,114358,3,33.2,CA
Hayward,162881,4.1,29.3,CA
Indio,91346,5.4,24.5,CA
San Rafael,59254,4.3,28.6,CA
Hawthorne,88372,7,19.3,CA
Concord,130855,3.6,31.5,CA
Ventura,111272,4,31.3,CA
Victorville,123343,6.6,22,CA
Fairfield,117883,5,27.8,CA
Cerritos,51307,3.2,35,CA
Ceres,49101,4.6,29.6,CA
El Centro,44609,2.8,36.4,CA
Merced,83659,5.6,26.5,CA
Inglewood,110726,6.2,24.8,CA
Paramount,55023,6,25.9,CA
Redlands,71954,3.7,34.6,CA
Rialto,104173,5.2,29.2,CA
South Gate,95570,6.6,24.7,CA
Antioch,112956,5.3,29.5,CA
Chico,94273,6.5,25.5,CA
Riverside,331022,5.1,30.9,CA
Salinas,158590,6.2,27.1,CA
Lancaster,160818,7.4,23.7,CA
Turlock,74267,5.7,30.1,CA
Long Beach,470445,7,25.3,CA
Pleasant Hill,35252,1.6,44.9,CA
Pomona,153496,5.7,30.6,CA
Hemet,86047,5,33.3,CA
Los Angeles,4029741,7.5,25.1,CA
San Luis Obispo,47885,4,37.8,CA
Fresno,531818,5.6,33.4,CA
Sacramento,507037,6.6,30.4,CA
Huntington Park,58922,7.3,30.5,CA
San Leandro,91359,5.2,39.2,CA
Bakersfield,385609,4.9,41.7,CA
Berkeley,123735,4.7,43.5,CA
Redding,92068,6.7,37.3,CA
Beverly Hills,34557,3.1,50.8,CA
Culver City,39335,4.8,44.6,CA
Palm Springs,48644,5.6,42.7,CA
Montclair,39648,6,41.5,CA
Vallejo,122974,7.7,36.7,CA
Santa Cruz,65680,5.9,44.2,CA
Modesto,215822,8.8,35.8,CA
Compton,97775,12,26.2,CA
Richmond,110982,9.4,39.2,CA
San Francisco,889282,6.9,55.3,CA
Santa Monica,92674,8.6,51.1,CA
West Hollywood,37478,8,56,CA
Stockton,313158,14,37.7,CA
San Bernardino,217986,13.3,41.4,CA
Oakland,430230,12.7,53.9,CA
Windsor,26441,0.166667,9.43333,CO
Milliken,7238,1.06667,5.73333,CO
Fort Lupton,8273,1.16667,11.1667,CO
Carbondale,6882,1.86667,11.7,CO
Johnstown,16490,0.5,10.3,CO
Erie,25233,0.666667,8.26667,CO
Firestone,14419,0.8,9.2,CO
Castle Rock,64526,0.8,15.5667,CO
Parker,55573,1.13333,13.6,CO
Estes Park,6399,2.03333,9.3,CO
Salida,5951,1.06667,28.1,CO
Steamboat Springs,13100,1.83333,22.3667,CO
Centennial,111646,0.6,5.83333,CO
Broomfield,70307,0.966667,24.8667,CO
Fruita,13390,1.76667,14.6,CO
Woodland Park,7709,2.3,20.9333,CO
Littleton,48632,0.966667,29.9333,CO
Fort Collins,168163,2.2,23.9667,CO
Lafayette,28914,2.5,23.8667,CO
Eagle,6921,1.9,11.4,CO
Golden,20768,2.1,25.9,CO
Loveland,78192,2.6,22.4,CO
Gunnison,6627,3.2,19.8,CO
Arvada,120631,2.3,29.4,CO
Brighton,41613,2.7,27.3,CO
Aspen,7465,1.6,38.7,CO
Wheat Ridge,31452,2.4,32.8,CO
Fountain,30367,4,20.8,CO
Cortez,8738,3.2,27.4,CO
Fort Morgan,11267,3.4,26.6,CO
Westminster,113751,2.8,32.3,CO
Thornton,139697,2.7,33.3,CO
Boulder,108380,2.7,33.8,CO
Craig,8848,2.6,35.7,CO
Rifle,9711,4.1,23.8,CO
Greeley,107325,4,25.5,CO
Longmont,95534,4.3,27.1,CO
Northglenn,39383,3.7,33.1,CO
Evans,20744,5.2,20.4,CO
Delta,8819,2.2,47.1,CO
Durango,18717,4.3,35.3,CO
Avon,6565,6.4,18.3,CO
Montrose,19335,3.4,46.2,CO
Glenwood Springs,10022,3.5,47.2,CO
Grand Junction,62974,4.4,43.4,CO
Colorado Springs,471124,5.6,33.4,CO
Englewood,35029,2.4,61.1,CO
Sterling,13928,6.3,35,CO
Trinidad,7947,5.4,42.8,CO
Commerce City,57474,6.7,31.8,CO
La Junta,6867,5,47.8,CO
Aurora,372824,7.3,29.8,CO
Canon City,16557,5.7,45.7,CO
Greenwood Village,15989,5.9,45.5,CO
Lone Tree,13933,3.1,72.5,CO
Denver,720745,7.3,36.7,CO
Federal Heights,12929,6.7,42.8,CO
Alamosa,9955,5.6,55.4,CO
Pueblo,111756,9.9,55.8,CO
Sheridan,6159,8.4,88.2,CO
Ridgefield,25260,0.0333333,3.23333,CT
Newtown,28015,0.233333,3.6,CT
Greenwich,63075,0.2,6.73333,CT
Simsbury,25164,0.233333,6.5,CT
Shelton,41657,0.666667,8.93333,CT
Westport,28278,0.166667,9.3,CT
Cheshire,29337,0.133333,7.53333,CT
New Milford,26956,0.933333,9.96667,CT
Vernon,29304,0.733333,12.2333,CT
Glastonbury,34593,0.325,6.95,CT
Middletown,46314,1.13333,16.0667,CT
South Windsor,25968,0.4,14.9333,CT
Wallingford,44680,0.6,13.8667,CT
Guilford,22268,0.366667,11.7667,CT
Fairfield,62452,0.5,15.4667,CT
Groton Town,29372,1.26667,14.8667,CT
Wethersfield,26127,0.5,7.375,CT
Naugatuck,31400,1.03333,15.8667,CT
Danbury,85818,1.76667,14.1667,CT
Branford,28121,0.533333,18.6667,CT
Southington,43960,0.7,16.7,CT
Enfield,44574,1.2,15.4,CT
Bristol,60184,1,16.1,CT
Torrington,34286,1.3,16.4,CT
Stamford,132007,1.7,16.1,CT
Norwich,39318,2.7,12.7,CT
Milford,54754,0.7,20.4,CT
East Haven,28805,0.7,20.6,CT
Farmington,25602,0.5,21.7,CT
North Haven,23703,0.5,22.1,CT
Stratford,52472,1,20.6,CT
Norwalk,89442,2.8,15.1,CT
Trumbull,36167,1.3,23.5,CT
Manchester,57884,1.7,22,CT
Newington,30382,0.7,25.7,CT
West Haven,54738,1.9,21.5,CT
West Hartford,63085,0.7,27.6,CT
Windsor,28867,0.9,27.1,CT
Hamden,61234,3.3,19.1,CT
East Hartford,50184,2.3,24,CT
Meriden,59792,3.6,20.3,CT
New London,26995,4.5,21,CT
Bridgeport,146819,6.4,19.3,CT
New Britain,72630,4.3,27.7,CT
Waterbury,108378,4.4,39.2,CT
New Haven,131181,8.4,39,CT
Hartford,123117,10.7,36,CT
Milton,2966,1.13333,14.2,DE
Clayton,3297,3.63333,9.76667,DE
Lewes,3134,1.5,21.9667,DE
Elsmere,6033,3.76667,19.6667,DE
Middletown,22350,3.26667,21.8,DE
Newark,34207,3,20.5,DE
Smyrna,11791,5.2,24.5333,DE
Millsboro,4439,3.53333,41.4,DE
New Castle,5351,4.16667,39.8333,DE
Camden,3497,4,49.7,DE
Harrington,3659,11.2,28.7,DE
Georgetown,7419,5.3,51,DE
Laurel,4394,9.8,41,DE
Dover,37778,8,47.9,DE
Milford,11301,7.5,50,DE
Seaford,7876,8.1,53.3,DE
Wilmington,71157,15.4,49.2,DE
Marco Island,18122,0.333333,5.76667,FL
Weston,71744,0.566667,5.46667,FL
Key Biscayne,13299,0.266667,10.1,FL
Parkland,33760,0.8,6.8,FL
North Palm Beach,13214,1,10.4667,FL
Winter Springs,37137,1.43333,9.86667,FL
Port St. Lucie,193137,1.2,11.4,FL
Lynn Haven,21285,1.93333,17.4667,FL
Oviedo,41937,1.86667,9.36667,FL
Sebastian,25672,1.6,15.0333,FL
Cooper City,36896,0.833333,12.7333,FL
Naples,22308,0.766667,16.8,FL
Wellington,66080,1.6,15.0333,FL
Niceville,15621,1.3,15.1,FL
Safety Harbor,17985,1.16667,13.5,FL
St. Cloud,53560,1.96667,13.3667,FL
Venice,23362,1.13333,14.6,FL
